giphy_id,qwen8b_dominant,moss_dominant,sentiment,arousal
1n4FT4KRQkDvK0IO4X,fear,neutral,-0.2255,0.6023
3o7TKPdUkkbCAVqWk0,disgust,neutral,-0.1884,0.5855
3ohnEqJ1XOfvWaSk7e,fear,neutral,-0.0552,0.5937
HtaGVNHVnTNuw,fear,neutral,-0.1479,0.5308
NEvPzZ8bd1V4Y,anger,neutral,-0.1485,0.5442
d3mlE7uhX8KFgEmY,happy,neutral,-0.0143,0.5023
d0DdMCREQChi3jGymW,anger,neutral,-0.217,0.5721
gdwJdym3VuXQr5OfAc,sad,neutral,0.0531,0.5515
1iTJ8HydjTxQgvYs,fear,neutral,-0.0701,0.5616
lptjRBxFKCJmFoibP3,fear,anger,-0.2768,0.6696
aZ3LDBs1ExsE8,disgust,anger,-0.3707,0.6587
3o6Zt4HU9uwXmXSAuI,surprise,neutral,0.1014,0.6763
AgHBbekqDik0g,fear,anger,-0.3078,0.6418
l3giLj8coa2HVnzgeF,anger,neutral,-0.2237,0.6041
S3Ot3hZ5bcy8o,fear,happy,0.3849,0.6677
h26f7dQPNqXRjAb54O,,neutral,-0.0409,0.4755
kjjRGpezebjaw,,neutral,-0.2407,0.6502
KzDqC8LvVC4lshCcGK,disgust,neutral,-0.054,0.5738
3oKIPdGYRGEby6jQwE,fear,anger,-0.3939,0.7251
rAKdqZ8nfiaZi,fear,neutral,0.1189,0.6217
3o7ZetIsjtbkgNE1I4,neutral,anger,-0.2535,0.7307
DnMMGxEvniha7CvASq,fear,neutral,-0.2032,0.5674
b85mPT4Usz7fq,,neutral,-0.1729,0.598
l3V0B6ICVWbg8Xi5q,disgust,anger,-0.3349,0.7793
67ThRZlYBvibtdF9JH,fear,happy,0.3349,0.6394
DMhDOItd4UPUO0RXpm,fear,neutral,-0.0745,0.5135
ugOaZ3Wi8lqZW,,anger,-0.1227,0.6375
R8Y1ZWAdik5qpLxqaa,,anger,-0.3608,0.7157
jsl82uOLnCdAXBqT1O,anger,neutral,-0.2172,0.6095
cb7t8mVPkiQDK,fear,anger,-0.2394,0.6878
l0HlOaQcLJ2hHpYdy,anger,neutral,-0.0798,0.5591
XKCdA6ERnXp6M,fear,anger,-0.2841,0.7151
LdOyjZ7io5Msw,,anger,-0.1081,0.7082
aN9GqoR7OD3nq,fear,neutral,-0.085,0.5248
LMiflYPfQbNXoua28d,surprise,neutral,-0.0058,0.5326
Tiaas82Zh2aJbyIaJ0,anger,neutral,-0.1889,0.5964
lszAB3TzFtRaU,anger,happy,0.0875,0.7066
t6le0zLgkIRVoh7YxK,disgust,neutral,0.1626,0.5627
mPKa6OI5oRsmextwBq,fear,sad,-0.2834,0.5285
O1QY4jjt2M9TErx4QW,happy,anger,-0.3665,0.5977
h0MTqLyvgG0Ss,disgust,neutral,-0.1802,0.5689
yUI3a7RwLhOFy,surprise,anger,-0.3471,0.7917
cdNSp4L5vCU7aQrYnV,fear,neutral,0.2342,0.5802
1n83V8ss2ZOrHs1FyJ,fear,anger,-0.3918,0.7247
evB90wPnh5LxG3XU5o,fear,sad,-0.3581,0.5287
3Zs26J8u7LWdW,,neutral,-0.1878,0.592
WxDZ77xhPXf3i,anger,sad,-0.5323,0.5474
26xBEamXwaMSUbV72,fear,neutral,-0.2182,0.6705
R9cQo06nQBpRe,fear,neutral,-0.196,0.5863
14ceV8wMLIGO6Q,fear,neutral,-0.0847,0.5464
q09as1hSQTyhEtpfoF,fear,anger,-0.3105,0.6763
MFsqcBSoOKPbjtmvWz,disgust,anger,-0.3183,0.6973
1BXa2alBjrCXC,disgust,anger,-0.3776,0.7346
UrbAt7S2zSEE5mENfM,fear,neutral,0.0283,0.5349
14SAx6S02Io1ThOlOY,disgust,neutral,-0.2632,0.5013
XKL1MHvk47OXC,fear,anger,-0.3681,0.7766
2GjgvS5vA6y08,fear,anger,-0.423,0.689
UO5elnTqo4vSg,happy,neutral,-0.099,0.5861
Wt6kNaMjofj1jHkF7t,anger,neutral,-0.048,0.4942
GRM7Z2s6AougoR3rvv,fear,anger,-0.4093,0.7725
3aGZA6WLI9Jde,fear,neutral,-0.1279,0.554
CjmvTCZf2U3p09Cn0h,disgust,neutral,-0.0053,0.5047
LSKVlAGSnuXxVdp5wN,anger,neutral,-0.0991,0.5357
3oEjHI8WJv4x6UPDB6,happy,anger,-0.1138,0.6766
ZxomYqy9uGtSQSSjth,fear,neutral,-0.2224,0.6378
10Jpr9KSaXLchW,fear,happy,0.4369,0.6821
l0IylQbWweKU5LGNy,fear,neutral,-0.0559,0.4993
O5NyCibf93upy,anger,happy,0.043,0.6295
l3E6uhDAN3W7vylji,disgust,anger,-0.0292,0.7525
44Eq3Ab5LPYn6,happy,anger,-0.226,0.696
ADgfsbHcS62Jy,,neutral,-0.1894,0.5512
3ohzdIuqJoo8QdKlnW,disgust,happy,0.1067,0.7306
Db7KR3SLgRUVfqKp0V,fear,neutral,-0.2279,0.5592
QVs6OmwbbGvWPJJ75m,happy,neutral,-0.0337,0.6574
8YBm95B5JNIXTWp5on,fear,neutral,0.0733,0.526
3o6Mb540VwDhjim5FK,disgust,neutral,0.0904,0.571
jInJJOmuBRwL5FpLKo,fear,neutral,-0.3007,0.64
H1wV85UGUQnTgGVIaj,anger,neutral,-0.0345,0.5292
Y2ZUWLrTy63j9T6qrK,disgust,anger,-0.3987,0.7178
0A477fjlRXL1n2LVgJ,anger,neutral,-0.0937,0.5991
9PyhoXey73EpW,fear,neutral,-0.0579,0.6288
jrhtSSLRtPagnk5Nxu,fear,neutral,-0.2191,0.4848
xTiTnqUxyWbsAXq7Ju,happy,neutral,-0.0329,0.5784
2w6I6nCyf5rmy5SHBy,fear,happy,0.165,0.6394
J5sGUCM7sCt7G,fear,anger,-0.3712,0.6935
4cQSQYz0a9x9S,disgust,anger,-0.2986,0.6748
5xtDarqlsEW6F7F14Fq,disgust,happy,0.6225,0.7006
x0npYExCGOZeo,fear,neutral,0.1452,0.5881
KBaxHrT7rkeW5ma77z,anger,surprise,-0.1088,0.7018
2FayTY8z5FsBbLLBS,fear,anger,-0.4319,0.6079
3o6nUMRm46ceoDRAd2,neutral,anger,-0.438,0.7339
tsX3YMWYzDPjAARfeg,fear,happy,0.6165,0.7027
SWVF41fAxIrwIyUr8b,,neutral,-0.1799,0.5684
laUY2MuoktHPy,fear,anger,-0.2487,0.7048
IwAZ6dvvvaTtdI8SD5,happy,neutral,0.2013,0.6036
xUOxfoA5ffZ8xoTDC8,happy,neutral,0.0241,0.4952
BWySufD6KWQzC,fear,neutral,0.0605,0.5752
Pk3kAZnZaAq9jqh5mJ,happy,anger,-0.3054,0.6846
VbE1xtnPHx6D34GXhv,neutral,sad,-0.3719,0.4919
tmQrpA8zpG4a16SSxm,fear,sad,-0.4729,0.5601
xT9IgAakXAITtXIWje,anger,neutral,-0.101,0.5614
SWoRKslHVtqEasqYCJ,disgust,anger,-0.3942,0.7076
XeLcgh8gT8o0F5SQ8i,,anger,-0.3376,0.7253
YA6dmVW0gfIw8,anger,neutral,-0.206,0.5595
l0HFkA6omUyjVYqw8,fear,sad,-0.3874,0.4615
DhstvI3zZ598Nb1rFf,anger,happy,0.1458,0.66
26FPy3QZQqGtDcrja,fear,anger,-0.4626,0.7715
jQWJUET9SPFxRINeMP,fear,neutral,-0.1971,0.6472
d3mmdNnW5hkoUxTG,disgust,neutral,-0.0458,0.4853
wazvvYSGdvJhm,fear,anger,-0.4567,0.8028
I4Jmrcjnr8Zfq,fear,anger,-0.1588,0.7472
MQuNaGVm9qT1ryKWH4,,anger,-0.1574,0.7339
l0ExhcMymdL6TrZ84,happy,neutral,0.0964,0.6212
tyqcJoNjNv0Fq,sad,neutral,0.0696,0.5789
l4FATJpd4LWgeruTK,fear,anger,-0.4914,0.7819
fxZUW30aS7bjmG5Oha,anger,neutral,-0.0995,0.529
TJaNCdTf06YvwRPCge,fear,neutral,-0.1644,0.6216
Q7ozWVYCR0nyW2rvPW,fear,neutral,0.0445,0.5772
l0Ex6kAKAoFRsFh6M,disgust,neutral,-0.0047,0.5398
kPtv3UIPrv36cjxqLs,disgust,sad,-0.4104,0.5032
X0oEvTEdLj2YU,fear,neutral,-0.1274,0.6755
7mI0mLnprQCOs,anger,sad,-0.4965,0.5433
MRxJqmk3MNta8,anger,neutral,-0.2422,0.5911
8Iv5lqKwKsZ2g,happy,neutral,0.1709,0.5808
MVDPX3gaKFPuo,,anger,-0.2774,0.764
RrVzUOXldFe8M,anger,neutral,-0.2686,0.6043
NTTz63N3bTEVl83tN8,happy,neutral,0.3613,0.6024
26n6xBpxNXExDfuKc,fear,neutral,-0.016,0.4993
B2Nx3iCzR9Tpf4W6k9,fear,neutral,-0.1933,0.6018
GpyS1lJXJYupG,disgust,sad,-0.4728,0.4676
Gtnf8Fok8An9m,disgust,neutral,-0.0553,0.4819
l3fQf1OEAq0iri9RC,disgust,anger,-0.3951,0.7355
AhgQdQqF0nwPiZkGPc,happy,neutral,0.1942,0.5464
26n6Gx9moCgs1pUuk,disgust,anger,-0.1707,0.7635
5nsiFjdgylfK3csZ5T,fear,anger,-0.3118,0.708
l41Ys1fQky5raqvMQ,,anger,-0.2049,0.737
op2Br9pDuAIQo,,anger,-0.4166,0.7223
26gsspfbt1HfVQ9va,fear,neutral,-0.0151,0.5037
OJw4CDbtu0jde,fear,sad,-0.55,0.5583
26ufcVAp3AiJJsrIs,fear,neutral,-0.1599,0.5629
d2lcHJTG5Tscg,fear,sad,-0.6057,0.4296
CAxbo8KC2A0y4,,neutral,0.0335,0.6224
EQBsWLfdxHW01Y1OHK,anger,neutral,-0.1529,0.5638
n5sdh00OGVpgA,disgust,anger,-0.2397,0.7148
oNFP9kltPi7fp8TUAV,fear,neutral,0.0724,0.5953
32mC2kXYWCsg0,fear,sad,-0.5282,0.5005
Qz4RaxcOh4qndWOG5N,fear,neutral,-0.1171,0.498
YJjvTqoRFgZaM,,anger,-0.4707,0.7702
8YmZ14DOpivXMuckSI,fear,anger,-0.4042,0.6887
IXWqceoF995QxrBnL0,fear,neutral,0.0093,0.4836
fWlesbav1qMk8,fear,anger,-0.274,0.6408
aJlKIh8Kh0NLa,fear,neutral,-0.2584,0.5924
3oz8xZGfHArTvh99YI,anger,neutral,0.0391,0.6205
2Z3lgZOhISkYU,fear,anger,-0.4219,0.744
JhncGNdBoyeKk,fear,neutral,-0.1207,0.5921
26tOZ42Mg6pbTUPHW,happy,neutral,0.0813,0.6494
l4KhQo2MESJkc6QbS,fear,neutral,-0.0041,0.4745
BFYLNwlsSNtcc,disgust,anger,-0.3576,0.7742
gEvab1ilmJjA82FaSV,fear,neutral,-0.0893,0.5674
acttIrNAHaoco,fear,neutral,-0.204,0.6291
pdtaN3WCeipkQ,fear,neutral,-0.1154,0.6571
FoH28ucxZFJZu,fear,sad,-0.5902,0.4023
X7fal3ZYE3SDjegvPY,,neutral,0.0192,0.5139
3jcgPn9fzfaXc1EHJC,anger,neutral,-0.1686,0.5488
UBBJYj7kgrRpOOdwrv,happy,neutral,0.086,0.5051
A6aHBCFqlE0Rq,disgust,neutral,0.2227,0.5754
3o6EhXlZ0l1kFxo4Gk,fear,anger,-0.4707,0.7992
3ohhwF34cGDoFFhRfy,disgust,neutral,0.0358,0.5172
nfAMS5TUUgw9i,,neutral,-0.0482,0.4833
26ufdipQqU2lhNA4g,fear,anger,-0.3617,0.7363
CoDp6NnSmItoY,anger,happy,0.0403,0.6894
fMB1jJgrkhisCczdpy,fear,neutral,0.0014,0.6294
oX7tFfy7kXJDnkrQPc,fear,neutral,-0.0923,0.5398
NaboQwhxK3gMU,disgust,neutral,0.021,0.5759
26tPo9rksWnfPo4HS,fear,anger,-0.3305,0.7813
FaKV1cVKlVRxC,happy,neutral,0.0257,0.5123
ftJQUR24xLasOSDyb7,happy,neutral,0.0293,0.4976
8wfoaIjVc0FBaLu5xH,anger,neutral,-0.0528,0.5353
3oEjI1erPMTMBFmNHi,fear,anger,-0.4782,0.7122
l0NwNrl4BtDD7JCx2,fear,anger,-0.483,0.6779
gTURHJs4e2Ies,happy,neutral,-0.056,0.5498
BCIoXfA95d1ba,fear,neutral,-0.1847,0.5832
PPi5c8l8WDY7if1L8z,fear,anger,-0.2107,0.7114
YnkMcHgNIMW4Yfmjxr,fear,neutral,-0.085,0.5024
QuspXi6Va6Scge0PB7,fear,anger,-0.2713,0.6333
Ny4Ian52lZDz2,fear,anger,-0.5024,0.7943
3o6Zt9y2JCjc450T3q,anger,neutral,-0.0788,0.5462
ukGm72ZLZvYfS,disgust,anger,-0.3393,0.6327
xUPGGw7jxnwjk073sA,fear,anger,-0.3689,0.7228
l0HlBO7eyXzSZkJri,fear,neutral,-0.1907,0.4631
17C41UvchStTkd92UQ,disgust,neutral,-0.2165,0.6242
3oEdvbpl0X32bXD2Vi,fear,anger,-0.258,0.6282
h3ukojADbBwXZ7F1hD,anger,neutral,-0.2024,0.6193
j4qzqfdXRmw06W1SYb,fear,sad,-0.4719,0.6091
3o6ZtnBTCcssUFSgbS,,neutral,-0.1297,0.5286
QPQ3xlJhqR1BXl89RG,anger,neutral,-0.2387,0.5659
3o7abAHdYvZdBNnGZq,fear,neutral,0.009,0.5575
ie76dJeem4xBDcf83e,anger,sad,-0.4135,0.5509
f7GQKWSKo5ekWPUNnC,happy,neutral,0.0223,0.577
l2JhrYYxAD6N5gble,anger,sad,-0.5618,0.5457
bzOwkffoJcEXcP2OxW,disgust,neutral,0.0905,0.5621
7WwVYKDMt5khG,fear,neutral,-0.1249,0.4899
QMHoU66sBXqqLqYvGO,fear,neutral,0.1174,0.571
MwOuiiTfWfWgM,disgust,anger,-0.4375,0.7322
BPJmthQ3YRwD6QqcVD,disgust,neutral,0.1676,0.5721
n2IPMYMthV0m4,fear,neutral,-0.1906,0.5939
