giphy_id,qwen8b_dominant,moss_dominant,sentiment,arousal,max_score
mi6DsSSNKDbUY,fear,fear,-0.2969,0.7644,1.0
qjSxTWJxqH4YDuIrOs,anger,anger,-0.4239,0.7763,1.0
c16VH0CFMh7gOqqXOM,anger,anger,-0.4866,0.7853,1.0
10JhviFuU2gWD6,anger,anger,-0.483,0.7235,1.0
MEd8jfvzKX3oY,happy,happy,0.0814,0.6877,0.9997
KzGCAlMiK6hQQ,anger,anger,-0.3217,0.6943,1.0
tXLpxypfSXvUc,fear,fear,-0.2298,0.6652,1.0
mb410b43HO7aU,fear,fear,-0.3624,0.7883,1.0
iZGpuaRKdEZoI,happy,happy,0.1132,0.6138,0.9999
3oKIPjzfv0sI2p7fDW,anger,anger,-0.4949,0.7973,1.0
mz7iww9tCUnJJeZvGN,anger,anger,-0.4506,0.763,1.0
dr6toZX3D1O8,anger,anger,-0.4802,0.787,1.0
LoCDk7fecj2dwCtSB3,anger,anger,-0.2824,0.6431,1.0
oe33xf3B50fsc,fear,fear,-0.3352,0.7645,1.0
l0HUg6Ypas42ubkXu,anger,anger,-0.4965,0.7171,1.0
SaX384PjtDl2U,anger,anger,-0.5012,0.7896,1.0
14Cdxd4oLMcg0,anger,anger,-0.4913,0.8021,1.0
r5gHt2TCIiHK0,fear,fear,-0.303,0.7139,1.0
1569RvwRjejO2IcueA,anger,anger,-0.4987,0.8018,1.0
3o6gDWzmAzrpi5DQU8,neutral,neutral,-0.0348,0.4833,1.0
9GLiEBLM0qiSQ,anger,anger,-0.4197,0.7233,1.0
Vi4MRwWi9sYpi,anger,anger,-0.5012,0.7896,1.0
xBXWbB1p0WfQraQP6k,neutral,neutral,-0.0775,0.4788,1.0
9HQRIttS5C4Za,anger,anger,-0.4783,0.7926,1.0
fbHFJR5vXcWgXpKEXK,anger,anger,-0.2705,0.7064,1.0
O3GqAYR9jFxLi,fear,fear,-0.3074,0.7732,1.0
SQgbkziuGrNxS,neutral,neutral,0.0044,0.5073,1.0
5mBE2MiMVFITS,happy,happy,0.2706,0.7376,0.9999
MZocLC5dJprPTcrm65,surprise,surprise,-0.0565,0.7702,1.0
MVgLEacpr9KVK172Ne,fear,fear,-0.3937,0.746,1.0
g9582DNuQppxC,happy,happy,0.2723,0.6252,0.9977
4oDzdrfM6I5I4,fear,fear,-0.3916,0.8184,1.0
dMsh6gRYJDymXSIatd,anger,anger,-0.483,0.7925,1.0
tXL4FHPSnVJ0A,sad,sad,-0.6229,0.3773,1.0
cEYFeE4wJ6jdDVBiiIM,fear,fear,-0.2616,0.6449,1.0
2RGhmKXcl0ViM,anger,anger,-0.3504,0.7775,1.0
S5yqNNTQlEZfqQ7InC,anger,anger,-0.2527,0.7274,1.0
sDcfxFDozb3bO,anger,anger,-0.4926,0.7846,1.0
XozypzpGakVuX2ciZJ,anger,anger,-0.413,0.7183,1.0
aMh59aKR8vjdC,anger,anger,-0.4498,0.7646,1.0
88iYsvbegSUn9bSTF8,happy,happy,0.4207,0.6408,1.0
P1PemPnyp4g1i,fear,fear,-0.3536,0.786,0.9999
11ASZtb7vdJagM,neutral,neutral,-0.0114,0.4579,1.0
XUFPGrX5Zis6Y,fear,fear,-0.3121,0.7662,1.0
oVW4ztszdtmM0,anger,anger,-0.4871,0.7864,1.0
gSIz6gGLhguOY,anger,anger,-0.4604,0.7396,1.0
IwYXRW8IXRftS,fear,fear,-0.4431,0.8089,1.0
1iTH1WIUjM0VATSw,fear,fear,-0.0968,0.7357,1.0
WJjLyXCVvro2I,anger,anger,-0.464,0.7508,1.0
26vUDLOP9YIc8oxGg,anger,anger,-0.0692,0.7232,1.0
xiN0BXMETVsx0AxTXt,fear,fear,-0.3312,0.7974,1.0
xTiN0CNHgoRf1Ha7CM,happy,happy,0.375,0.7079,0.9998
bC9czlgCMtw4cj8RgH,happy,happy,0.4014,0.6481,0.9999
